fertilizer,rainfall,yield
Organic,583,3.9
Organic,620,5.3
Organic,576,4.5
Chemical,565,7.1
Organic,392,3.7
Organic,567,4.6
Organic,384,4.4
Chemical,738,8
Chemical,480,6.1
Chemical,618,6.4
Organic,662,5
Organic,601,4.2
Chemical,762,9.1
Chemical,498,6.2
Chemical,653,6.6
Chemical,483,6.9
Organic,855,5.1
Organic,683,3.8
Organic,559,3.6
Chemical,694,7.3
Organic,461,3.6
Chemical,781,8.2
Chemical,461,5.7
Chemical,413,4.4
Chemical,593,6.5
Chemical,702,8.4
Chemical,599,6.4
Organic,509,3.7
Organic,741,4.9
Chemical,890,9.6
Chemical,365,4.6
Organic,777,5.6
Chemical,543,6
Organic,718,4.7
Chemical,381,5.1
Organic,569,4.7
Organic,485,4.3
Chemical,541,7
Organic,471,4.5
Chemical,644,8.3
Chemical,746,7.7
Chemical,541,4.8
Chemical,573,6.2
Organic,467,3.4
Chemical,719,7.3
Organic,667,5.4
Organic,412,3.3
Organic,778,4.6
Chemical,460,6.1
Organic,474,4.3
Organic,423,3.5
Organic,457,4.1
Chemical,558,6.7
Organic,664,4.9
Chemical,515,5.8
Organic,576,4.7
Organic,566,2.9
Chemical,741,8
Chemical,875,8.7
Chemical,472,7.1
Organic,829,5.5
Organic,856,5.5
Organic,628,5.2
Organic,708,5.3
Chemical,391,5.3
Chemical,656,7.1
Organic,535,4.2
Organic,580,3.7
Chemical,666,7.9
Organic,724,4.6
Organic,594,4.2
Organic,917,6.1
Organic,671,4.4
Organic,576,4.2
Organic,653,5.5
Organic,588,4
Organic,469,3.7
Chemical,660,8
Organic,714,4.7
Chemical,646,6.7
Chemical,645,7.1
Organic,619,4.8
Organic,702,4.4
Organic,446,3.7
Chemical,739,7.5
Organic,491,3.4
Chemical,640,7
Chemical,693,8.3
Chemical,628,7.4
Organic,413,3.2
Chemical,603,6.9
Organic,640,4.4
Organic,719,4.8
Chemical,660,7.6
Organic,669,5
Chemical,737,8.1
Chemical,515,6.4
Chemical,526,5.7
Chemical,599,6.4
Organic,641,3.8
Chemical,769,8.2
Organic,496,4.8
Organic,495,3
Organic,693,4.8
Organic,552,4.5
Chemical,574,6.4
Chemical,673,6.7
Organic,526,3.5
Organic,513,4.8
Organic,569,4.1
Chemical,553,7.1
Organic,518,3.7
Organic,705,5.6
Chemical,542,6.6
Organic,608,4.4
Organic,616,5.2
Chemical,377,5
Organic,642,4.3
Organic,780,5.1
Organic,598,4.3
